date,openMeteo_min_apparent_temp,virtualCrossing_min_apparent_temp
2023-11-16,4.302391,6.5
2023-11-17,0.45467186,2.1
2023-11-18,-4.051994,-1.8
2023-11-19,-1.562432,1.5
2023-11-20,1.6566238,3.0
2023-11-21,-0.08832455,0.8
2023-11-22,-2.8984222,-1.1
2023-11-23,-3.5644245,-3.4
2023-11-24,-7.594776,-7.9
2023-11-25,-6.3640814,-5.4
2023-11-26,-7.2948647,-8.1
2023-11-27,-13.992413,-14.7
2023-11-28,-15.061923,-16.3
2023-11-29,-12.64527,-12.3
2023-11-30,-3.367959,-2.8
2023-12-01,3.0149612,3.2
2023-12-02,1.5183973,2.1
2023-12-03,-1.0297692,-0.4
2023-12-04,-1.9942775,-1.3
2023-12-05,-2.9423838,-2.6
2023-12-06,-3.9462616,-3.6
2023-12-07,-2.0449421,-0.5
2023-12-08,2.408186,4.3
2023-12-09,-2.8440917,-2.9
2023-12-10,-4.728435,-4.4
2023-12-11,-5.800254,-5.8
2023-12-12,-4.7603235,-5.1
2023-12-13,-8.582705,-6.7
2023-12-14,-4.7445364,-3.6
2023-12-15,-2.4543426,0.1
2023-12-16,1.2451305,2.6
2023-12-17,-2.34746,-1.9
2023-12-18,-10.355008,-10.5
2023-12-19,-12.251731,-12.1
2023-12-20,-5.035305,-4.2
2023-12-21,-1.7296517,1.0
2023-12-22,2.273127,4.5
2023-12-23,4.572156,5.4
2023-12-24,7.4847717,10.0
2023-12-25,7.619667,10.6
2023-12-26,-1.6051815,0.7
2023-12-27,-3.5867152,-1.1
2023-12-28,-1.4077823,-0.8
2023-12-29,-1.4763689,-1.8
2023-12-30,-6.0303082,-5.8
2023-12-31,-4.7878914,-4.9
2024-01-01,-7.0569935,-7.9
2024-01-02,-8.560556,-8.5
2024-01-03,-4.9305425,-4.3
2024-01-04,-5.934723,-6.0
2024-01-05,-6.940539,-5.7
2024-01-06,-4.438666,-4.3
2024-01-07,-4.541373,-4.2
2024-01-08,-3.7148275,-4.0
2024-01-09,-4.531655,-4.3
2024-01-10,-6.3198223,-6.1
2024-01-11,-6.794611,-6.4
2024-01-12,-6.3300667,-6.0
2024-01-13,-21.915798,-27.7
2024-01-14,-31.183062,-36.1
2024-01-15,-30.302052,-36.1
2024-01-16,-28.233469,-32.1
2024-01-17,-23.527695,-26.8
2024-01-18,-15.33679,-17.5
2024-01-19,-19.815899,-22.8
2024-01-20,-22.237831,-23.0
2024-01-21,-24.330479,-23.0
2024-01-22,-15.207026,-12.7
2024-01-23,-3.8782582,-2.3
2024-01-24,-2.5955284,-1.1
2024-01-25,-1.6921959,0.1
2024-01-26,-1.2038472,-0.4
2024-01-27,-2.484674,-0.4
2024-01-28,-2.1725168,-1.9
2024-01-29,-4.3739758,-4.7
2024-01-30,-3.4991736,-1.7
2024-01-31,-2.167008,-1.9
2024-02-01,-2.3954043,-1.7
2024-02-02,-2.7738032,-2.9
2024-02-03,-5.509398,-3.6
2024-02-04,-5.331939,-3.0
2024-02-05,-3.4611125,-3.9
2024-02-06,-2.932838,-1.8
2024-02-07,-3.8438733,-3.6
2024-02-08,2.2608013,5.5
2024-02-09,2.1789923,1.0
2024-02-10,-3.7896516,-3.9
2024-02-11,-6.891985,-4.8
2024-02-12,-9.268696,-5.0
2024-02-13,-5.0951247,-5.4
2024-02-14,-7.3343043,-4.5
2024-02-15,-3.743809,-4.1
2024-02-16,-7.0115623,-8.8
2024-02-17,-15.9347,-17.4
2024-02-18,-12.796013,-12.3
2024-02-19,-8.040354,-5.1
2024-02-20,-4.1029024,-2.6
2024-02-21,2.532734,4.6
2024-02-22,4.54807,6.8
2024-02-23,-7.184244,-9.1
2024-02-24,-11.023493,-11.0
2024-02-25,-5.6903553,-5.0
2024-02-26,0.80498314,4.0
2024-02-27,10.69999,12.8
2024-02-28,-12.963724,-13.8
2024-02-29,-11.228755,-10.9
2024-03-01,-5.059856,-3.6
2024-03-02,-1.0214322,0.2
2024-03-03,2.154099,3.6
2024-03-04,10.506009,12.8
2024-03-05,-0.5422673,0.0
2024-03-06,-0.09317827,0.5
2024-03-07,-1.4170902,0.7
2024-03-08,0.96664524,1.8
2024-03-09,-4.0621147,-2.8
2024-03-10,-5.6533732,-5.5
2024-03-11,-4.263501,-2.4
2024-03-12,4.692316,7.1
2024-03-13,7.0268545,10.0
2024-03-14,1.8599806,1.6
2024-03-15,-1.1097822,-0.9
2024-03-16,0.13986778,1.2
2024-03-17,-5.1749916,-5.2
2024-03-18,-8.6527,
2024-03-19,-7.2434406,
2024-03-20,-5.0364017,
2024-03-21,-7.159212,
2024-03-22,-5.578467,
2024-03-23,-5.5218925,
2024-03-24,-5.0274925,
