date,openMeteo_min_apparent_temp,virtualCrossing_min_apparent_temp
2024-02-07,-5.729707,-1.9
2024-02-08,-3.3695238,2.5
2024-02-09,0.64369106,4.5
2024-02-10,1.8144908,6.7
2024-02-11,2.294032,4.8
2024-02-12,-2.1638105,1.4
2024-02-13,-5.7685146,-4.5
2024-02-14,-9.366123,-8.6
2024-02-15,-10.017385,-7.0
2024-02-16,-5.4600043,-2.7
2024-02-17,-7.77356,-7.3
2024-02-18,-11.005541,-9.1
2024-02-19,-5.7655582,-3.8
2024-02-20,-8.781115,-8.0
2024-02-21,-7.637516,-4.4
2024-02-22,-4.001773,-0.6
2024-02-23,1.8205395,4.0
2024-02-24,-6.9708853,-4.4
2024-02-25,-10.681018,-8.5
2024-02-26,-5.1673665,-1.6
2024-02-27,-0.5945716,3.2
2024-02-28,3.7524576,4.4
2024-02-29,-8.284105,-7.2
2024-03-01,-7.5943427,-5.4
2024-03-02,-0.43830228,3.1
2024-03-03,5.639209,7.1
2024-03-04,4.09585,5.8
2024-03-05,0.19850731,0.6
2024-03-06,2.6577005,5.2
2024-03-07,2.8293962,6.1
2024-03-08,-0.8739543,2.0
2024-03-09,0.24527359,2.0
2024-03-10,-4.8079233,0.4
2024-03-11,-6.2501397,-3.4
2024-03-12,-0.50759125,3.8
2024-03-13,4.2707624,9.6
2024-03-14,3.0182328,6.6
2024-03-15,8.516738,11.7
2024-03-16,4.28944,6.8
2024-03-17,5.465147,10.6
2024-03-18,-2.4102595,
2024-03-19,-5.4980187,
2024-03-20,-5.4545736,
2024-03-21,-8.715968,
2024-03-22,-8.602259,
2024-03-23,-4.895591,
2024-03-24,-6.991215,
